关键字,名称,省(州),市,县/区,电话,地址,经度,纬度,门店图片地址,类型,行政区域属性
大学,华北电力大学,北京市,北京市,昌平区,"(010)61773022,(010)61773377",北京市昌平区回龙观北农路2号,1294845508,485208863,https://taojin-his.cdn.bcebos.com/3812b31bb051f819dfc09374d7b44aed2e73e723.jpg,教育培训;高等院校,县/区
大学,北京航空航天大学(沙河校区),北京市,北京市,昌平区,(010)82317114,北京市昌平区高教园南三街9号,1294402314,486139216,https://poi-pic-gz.cdn.bcebos.com/001/1_67b4fa828aa042a80ae72d9aa72f6fa0.jpeg,教育培训;高等院校,县/区
大学,北京信息科技大学(沙河校区),北京市,北京市,昌平区,,北京市昌平区太行路55号,1294045490,485950538,https://se-feed-bucket.cdn.bcebos.com/pic_all/mafengwo_1799379635409875_img3.jpg,教育培训;高等院校,县/区
大学,中国石油大学(北京),北京市,北京市,昌平区,(010)89733256,北京市昌平区府学路18号,1294148513,487057934,https://poi-pic.cdn.bcebos.com/070f5803c247d106d672bc913355fa4a.jpg,教育培训;高等院校,县/区
大学,中国政法大学(昌平校区),北京市,北京市,昌平区,(010)58909122,北京市昌平区府学路27号,1294149315,487162837,https://photo-meituan.cdn.bcebos.com/photo/1732702664fc550676ffdbf7e29788badc04c4d9b2,教育培训;高等院校,县/区
大学,北京师范大学(昌平校园G区),北京市,北京市,昌平区,(010)58804599,北京市昌平区满井路甲2号,1294326969,486077646,https://poi-pic.cdn.bcebos.com/8f81f0e8b21ebf607df4d6a142d32cea.jpg,教育培训;高等院校,县/区
大学,中央财经大学(沙河新校区),北京市,北京市,昌平区,(010)61776668,北京市昌平区沙河高教园区顺沙路,1294528462,486399099,https://poi-pic.cdn.bcebos.com/001/0_b9e313b5c5afeb2b8838a8235f7fbea3.jpeg,教育培训;高等院校,县/区
大学,中国矿业大学(北京)沙河校区,北京市,北京市,昌平区,(010)62339868,北京市昌平区沙河高教园区南二街9号,1294304759,486124455,https://poi-pic-gz.cdn.bcebos.com/pic_f3066c697481d051849068fc4de46cfd.jpg,教育培训;高等院校,县/区
大学,北京邮电大学(沙河校区),北京市,北京市,昌平区,(010)66605060,北京市昌平区南丰路与高教园南三街交口向北400米路东,1294626646,486203411,https://poi-pic.cdn.bcebos.com/5274181fab285aa25382319f3df67c58.jpg,教育培训;高等院校,县/区
大学,北京邮电大学(宏福校区),北京市,北京市,昌平区,(010)62282045,北京市昌平区北七家镇郑各庄村,1295568804,485486022,https://poi-pic.cdn.bcebos.com/001/0_0feffb2c3046dd3b4feb2f01631a2aad.jpeg,教育培训;高等院校,县/区
大学,中国人民大学(通州校区),北京市,北京市,通州区,,北京市通州区运河东大街37号,1299700409,482559412,https://poi-pic.cdn.bcebos.com/28e167fe4cee4667f720497bb7f2d743.jpg,教育培训;高等院校,县/区
大学,北京华文学院,北京市,北京市,昌平区,(010)80709996,北京市昌平区七北路69号,1295158455,485356486,https://se-feed-bucket.cdn.bcebos.com/pic_all/xiecheng_10199101_img3.jpg,教育培训;高等院校,县/区
大学,中国科学院大学(雁栖湖校区)-东区,北京市,北京市,怀柔区,(010)69671100,北京市怀柔区怀北庄380号,1299035256,489801919,https://poi-pic-gz.cdn.bcebos.com/001/1_c52bc13df48733a93221193d1d80e508.jpeg,教育培训;高等院校,县/区
大学,北京大学(昌平校区),北京市,北京市,昌平区,(010)62751407,北京市昌平区十三陵镇西山口村,1293506592,487496709,https://poi-pic-gz.cdn.bcebos.com/pic_bd84c0d9f2f7b2854ecd767ea300e83c.jpg,教育培训;高等院校,县/区
大学,首都经济贸易大学(密云分校),北京市,北京市,密云区,(010)69044566,北京市密云区西大桥路7号,1300623947,489259630,https://taojin-his.cdn.bcebos.com/ac4bd11373f0820280b1ac9e46fbfbedab641b6b.jpg,教育培训;高等院校,县/区
大学,北京工业大学耿丹学院,北京市,北京市,顺义区,(010)60411788,北京市顺义区牛栏山镇牛富路牛山段3号,1298652630,487036618,https://se-feed-bucket.cdn.bcebos.com/pic_all/xiecheng_4938511_img3.jpg,教育培训;高等院校,县/区
大学,中国传媒大学顺义教学区,北京市,北京市,顺义区,,北京市顺义区顺于路北京开放大学顺义分校,1298487028,485780887,https://map-mobile-resource.cdn.bcebos.com/icon/rec/search/default/huanzigaodengyuanxiao.png,教育培训;高等院校,县/区
大学,首都医科大学顺义校区,北京市,北京市,顺义区,(010)81476009,北京市顺义区大东路4号,1298811486,485756191,https://poi-pic.cdn.bcebos.com/75676f141130f74ebfbe8f0cf7957159.jpg,教育培训;高等院校,县/区
大学,北京开放大学影视艺术学院,北京市,北京市,平谷区,(010)60336033,北京市平谷区南定福路169号华夏管理学院院内,1302770499,485904176,https://poi-pic.cdn.bcebos.com/36e3cbb96893ac505254871ab25ea77b.jpg,教育培训;高等院校,县/区
大学,北京师范大学(育荣校园),北京市,北京市,昌平区,,北京市昌平区沙河镇七里渠南村531号育荣园区,1295129675,485379193,https://poi-pic-gz.cdn.bcebos.com/001/1_b8188a4f94d155b1654e09a387053e86.jpeg,教育培训;高等院校,县/区
大学,北京交通职业技术学院,北京市,北京市,昌平区,010-89703145,北京市昌平区西关环岛西边1公里,1293668775,487219195,https://poi-pic-gz.cdn.bcebos.com/001/1_06ab1267b705aec34b37a5bcef3b94b3.jpeg,教育培训;高等院校,县/区
大学,北京联合大学,北京市,北京市,朝阳区,"(010)64900013,(010)64900915",北京市朝阳区北四环东路97号,1296146596,483777904,https://poi-pic-gz.cdn.bcebos.com/001/1_f114dec353bf27d9fcb6280d3fad553b.jpeg,教育培训;高等院校,县/区
大学,航天工程大学(沙河校区),北京市,北京市,昌平区,,北京市昌平区沙河(地区)镇,1295109782,485755905,https://map-mobile-resource.cdn.bcebos.com/icon/rec/search/default/huanzigaodengyuanxiao.png,教育培训;高等院校,县/区
大学,北京大学万柳学区,北京市,北京市,海淀区,,北京市海淀区万柳中路29号,1294701352,483350682,https://poi-pic.cdn.bcebos.com/13a947a7e96f595b0851d9b286d5b154.jpg,教育培训;高等院校,县/区
大学,中国科学院大学,北京市,北京市,怀柔区,,北京市怀柔区永乐大街与强学路交叉口西400米,1299147638,489314879,https://map-mobile-resource.cdn.bcebos.com/icon/rec/search/default/huanzigaodengyuanxiao.png,教育培训;高等院校,县/区
大学,北京工业大学耿丹学院(南校区),北京市,北京市,顺义区,(010)60411788,北京市顺义区牛富路牛山段3号,1298707921,486979051,https://taojin-his.cdn.bcebos.com/5882b2b7d0a20cf45aa4335f78094b36acaf997e.jpg,教育培训;高等院校,县/区
大学,现代管理大学(密云校区),北京市,北京市,密云区,,北京市密云区经济开发区水源路25号,1300358751,489093869,https://map-mobile-resource.cdn.bcebos.com/icon/rec/search/default/huanzigaodengyuanxiao.png,教育培训;高等院校,县/区
大学,北京开放大学(通州分校),北京市,北京市,通州区,,北京市通州区玉带河东街358号,1298750901,482458529,https://poi-pic-gz.cdn.bcebos.com/pic_3e3e1f02ffec1600587509ef6d4c0823.jpg,教育培训;高等院校,县/区
大学,首都联合职工大学,北京市,北京市,朝阳区,(010)84923283,北京市朝阳区水岸南街1号院,1296284201,484662530,https://taojin-his.cdn.bcebos.com/a9d3fd1f4134970ae653f0129fcad1c8a7865def.jpg,教育培训;高等院校,县/区
